"Gene","Direction"
"SLC17A9","Both"
"PRPF6","Both"
"NCAM2","Both"
"MIR155HG","Both"
"MRPS6","Both"
"AP000317.2","Both"
"MORC3","Both"
"HLCS","Both"
"FAM3B","Both"
"TMPRSS2","Both"
"AIRE","Both"
"ITGB2","Both"
"ITGB2-AS1","Both"
"TBX1","Both"
"UPB1","Both"
"TTC28","Both"
"ZNRF3","Both"
"SYN3","Both"
"RASD2","Both"
"ELFN2","Both"
"MFNG","Both"
"CACNA1I","Both"
"SULT4A1","Both"
"TAFA5","Both"
"AGRN","Both"
"LINC01342","Both"
"UBE2J2","Both"
"DVL1","Both"
"MMEL1","Both"
"AJAP1","Both"
"CLCN6","Both"
"PLOD1","Both"
"TNFRSF8","Both"
"ALPL","Both"
"RAP1GAP","Both"
"ASAP3","Both"
"NCMAP","Both"
"CRYBG2","Both"
"RPS6KA1","Both"
"STX12","Both"
"NKAIN1","Both"
"FABP3","Both"
"PTP4A2","Both"
"AL354702.1","Both"
"FAAHP1","Both"
"DMBX1","Both"
"TRABD2B","Both"
"GLIS1","Both"
"TMEM61","Both"
"AL590440.1","Both"
"PLPP3","Both"
"C1orf87","Both"
"NFIA-AS2","Both"
"UBE2U","Both"
"LINC01725","Both"
"SAMD13","Both"
"AL078459.1","Both"
"ARHGAP29-AS1","Both"
"ATXN7L2","Both"
"GPR61","Both"
"KCNA2","Both"
"OLFML3","Both"
"TSPAN2","Both"
"NHLH2","Both"
"MAB21L3","Both"
"S100A5","Both"
"UBE2Q1","Both"
"KCNJ10","Both"
"AL121987.1","Both"
"CD247","Both"
"SFT2D2","Both"
"CCDC181","Both"
"DNM3OS","Both"
"SEC16B","Both"
"CRYZL2P-SEC16B","Both"
"COLGALT2","Both"
"BRINP3","Both"
"INAVA","Both"
"TMEM9","Both"
"PRELP","Both"
"LAX1","Both"
"GOLT1A","Both"
"PLEKHA6","Both"
"AL606489.1","Both"
"NFASC","Both"
"FCMR","Both"
"HSD11B1-AS1","Both"
"WNT9A","Both"
"FAM89A","Both"
"NID1","Both"
"ACTN2","Both"
"LINC02774","Both"
"CATSPERE","Both"
"MYT1L","Both"
"EIPR1","Both"
"CYS1","Both"
"GREB1","Both"
"APOB","Both"
"DRC1","Both"
"PLEKHH2","Both"
"EFEMP1","Both"
"SEMA4F","Both"
"AC079447.1","Both"
"PAX8-AS1","Both"
"KIF5C-AS1","Both"
"AC019197.1","Both"
"CSRNP3","Both"
"AC073050.1","Both"
"MAP3K20","Both"
"NEMP2","Both"
"AC108047.1","Both"
"PLEKHM3","Both"
"SH3BP4","Both"
"ASB18","Both"
"PER2","Both"
"AC012485.3","Both"
"ASB1","Both"
"IRAK2","Both"
"FGD5-AS1","Both"
"NR2C2","Both"
"CMTM7","Both"
"TRAK1","Both"
"ZKSCAN7-AS1","Both"
"ZNF660","Both"
"ZNF197","Both"
"AC109583.4","Both"
"STAB1","Both"
"DNASE1L3","Both"
"ACOX2","Both"
"CFAP44","Both"
"AC112128.1","Both"
"GRAMD1C","Both"
"GAP43","Both"
"HCLS1","Both"
"HEG1","Both"
"RUVBL1","Both"
"CNBP","Both"
"RAB6B","Both"
"SLCO2A1","Both"
"KY","Both"
"TFDP2","Both"
"KCNAB1","Both"
"AC091607.2","Both"
"RARRES1","Both"
"AC080013.1","Both"
"LINC02036","Both"
"TM4SF19-TCTEX1D2","Both"
"TM4SF19","Both"
"RUBCN","Both"
"MAEA","Both"
"RNF4","Both"
"FAM193A","Both"
"LGI2","Both"
"C4orf19","Both"
"AC022463.1","Both"
"AC098591.2","Both"
"NSUN7","Both"
"CRACD","Both"
"HOPX","Both"
"GRSF1","Both"
"TSPAN5","Both"
"AC114811.2","Both"
"ARSJ","Both"
"OTUD4","Both"
"FAM160A1","Both"
"TRIM61","Both"
"LINC02268","Both"
"WDR17","Both"
"LRRC14B","Both"
"ANKRD33B","Both"
"GHR","Both"
"AC025470.2","Both"
"IQGAP2","Both"
"CKMT2-AS1","Both"
"COMMD10","Both"
"MARCHF3","Both"
"MEGF10","Both"
"TH2LCRR","Both"
"IL13","Both"
"DIAPH1","Both"
"GRXCR2","Both"
"SH3RF2","Both"
"CAMK2A","Both"
"AC008676.3","Both"
"SOX30","Both"
"AC008691.1","Both"
"SLC34A1","Both"
"FAM193B","Both"
"ADAMTS2","Both"
"DUSP22","Both"
"LNC-LBCS","Both"
"AL021918.5","Both"
"ABCF1","Both"
"PSORS1C1","Both"
"PACSIN1","Both"
"PPARD","Both"
"CPNE5","Both"
"KCNK5","Both"
"MOCS1","Both"
"OPN5","Both"
"KHDRBS2","Both"
"POPDC3","Both"
"CRYBG1","Both"
"TRAF3IP2-AS1","Both"
"TRAF3IP2","Both"
"DSE","Both"
"PTPRK","Both"
"ADGRG6","Both"
"OPRM1","Both"
"SYTL3","Both"
"AGPAT4","Both"
"DACT2","Both"
"GPNMB","Both"
"LINC00265","Both"
"RAMP3","Both"
"ZPBP","Both"
"EGFR","Both"
"ELN","Both"
"PON1","Both"
"AC002451.1","Both"
"TMEM130","Both"
"SERPINE1","Both"
"CTTNBP2","Both"
"FLNC","Both"
"FLNC-AS1","Both"
"AHCYL2","Both"
"UBE2H","Both"
"AC073320.1","Both"
"CNPY1","Both"
"AC009403.2","Both"
"ARHGEF10","Both"
"MTMR7","Both"
"PDGFRL","Both"
"PEBP4","Both"
"SLC25A37","Both"
"ZNF395","Both"
"FBXO16","Both"
"ANK1","Both"
"FAM110B","Both"
"PREX2","Both"
"ZNF704","Both"
"ATP6V0D2","Both"
"VPS13B-DT","Both"
"RNF19A","Both"
"TNFRSF11B","Both"
"AC135166.1","Both"
"MTSS1","Both"
"GSDMD","Both"
"SLC39A4","Both"
"AF186192.2","Both"
"PIP5K1B","Both"
"NXNL2","Both"
"SYK","Both"
"ZNF782","Both"
"FRRS1L","Both"
"RALGDS","Both"
"AL162417.1","Both"
"ABO","Both"
"ADAMTSL2","Both"
"FAM163B","Both"
"GPSM1","Both"
"TRAF2","Both"
"IL15RA","Both"
"RBM17","Both"
"BEND7","Both"
"AL139815.1","Both"
"MSRB2","Both"
"CREM","Both"
"ARHGAP22","Both"
"CHST3","Both"
"LRMDA","Both"
"DLG5","Both"
"RGR","Both"
"HTR7","Both"
"CRTAC1","Both"
"PLPP4","Both"
"AC073585.1","Both"
"FAM24B","Both"
"CTBP2","Both"
"INSYN2A","Both"
"CALY","Both"
"NLRP6","Both"
"TH","Both"
"AC104389.5","Both"
"AC084337.2","Both"
"DNHD1","Both"
"PLEKHA7","Both"
"ANO3","Both"
"MUC15","Both"
"ACCS","Both"
"PRDM11","Both"
"SPI1","Both"
"RAPSN","Both"
"C1QTNF4","Both"
"SLC22A6","Both"
"SLC22A11","Both"
"EHD1","Both"
"NAALADL1","Both"
"TBX10","Both"
"ATG16L2","Both"
"MYO7A","Both"
"PAK1","Both"
"GAB2","Both"
"AP003086.1","Both"
"SYTL2","Both"
"FAT3","Both"
"WTAPP1","Both"
"HEPACAM","Both"
"ETS1","Both"
"FBXL14","Both"
"AC006581.2","Both"
"TSPAN11","Both"
"LINC00592","Both"
"KRT80","Both"
"ZNF385A","Both"
"MMP19","Both"
"SYT1","Both"
"CFAP54","Both"
"SLC17A8","Both"
"DRAM1","Both"
"NT5DC3","Both"
"CHST11","Both"
"CMKLR1","Both"
"DAO","Both"
"PPP1CC","Both"
"AC004551.1","Both"
"OAS2","Both"
"DTX1","Both"
"TMEM132C","Both"
"ADGRD1","Both"
"AC148477.4","Both"
"CRYL1","Both"
"AL359736.1","Both"
"SPATA13","Both"
"URAD","Both"
"CCDC169","Both"
"SERP2","Both"
"TRIM13","Both"
"STK24","Both"
"LINC00354","Both"
"GRTP1","Both"
"NRL","Both"
"PRPF39","Both"
"PYGL","Both"
"FRMD6","Both"
"GNG2","Both"
"PTGER2","Both"
"LGALS3","Both"
"TTC9","Both"
"STON2","Both"
"UNC79","Both"
"HHIPL1","Both"
"AL139300.1","Both"
"FAM189A1","Both"
"TRPM1","Both"
"SCG5","Both"
"ITPKA","Both"
"MGA","Both"
"MAPK6","Both"
"MYO5A","Both"
"APH1B","Both"
"RBPMS2","Both"
"RASL12","Both"
"IREB2","Both"
"CHRNB4","Both"
"CTXND1","Both"
"SNHG21","Both"
"ALPK3","Both"
"SEMA4B","Both"
"CRTC3","Both"
"FES","Both"
"CHTF18","Both"
"NTHL1","Both"
"PRSS27","Both"
"CORO7-PAM16","Both"
"TVP23A","Both"
"AC133065.1","Both"
"MYH11","Both"
"HS3ST2","Both"
"STX4","Both"
"ITGAX","Both"
"ITGAD","Both"
"CPNE2","Both"
"LINC02137","Both"
"CDH5","Both"
"RFWD3","Both"
"LINC01227","Both"
"C16orf74","Both"
"JPH3","Both"
"AC135782.2","Both"
"ACSF3","Both"
"SPIRE2","Both"
"CCDC92B","Both"
"ATP2A3","Both"
"PITPNM3","Both"
"TNK1","Both"
"TNFSF12","Both"
"PIK3R6","Both"
"COPS3","Both"
"DRG2","Both"
"MYO15A","Both"
"RFFL","Both"
"CSF3","Both"
"VAT1","Both"
"RND2","Both"
"MEOX1","Both"
"MPP3","Both"
"MAPT-AS1","Both"
"SKAP1","Both"
"MARCHF10-DT","Both"
"STRADA","Both"
"PRKCA","Both"
"CPSF4L","Both"
"TRIM47","Both"
"ST6GALNAC2","Both"
"TIMP2","Both"
"ASPSCR1","Both"
"AC139099.2","Both"
"DLGAP1","Both"
"GREB1L","Both"
"AC007998.2","Both"
"INO80C","Both"
"KATNAL2","Both"
"ZBTB7C","Both"
"DYM","Both"
"ATP8B1","Both"
"ZNF516","Both"
"NFATC1","Both"
"ATP8B3","Both"
"FSD1","Both"
"VAV1","Both"
"ANGPTL4","Both"
"ZNF559-ZNF177","Both"
"ZNF177","Both"
"DNMT1","Both"
"S1PR2","Both"
"CCDC159","Both"
"EPOR","Both"
"RGL3","Both"
"ZNF625-ZNF20","Both"
"ZNF625","Both"
"AC020916.1","Both"
"NANOS3","Both"
"SYDE1","Both"
"CYP4F22","Both"
"AC002116.2","Both"
"CLIP3","Both"
"ZNF875","Both"
"ZFP30","Both"
"WDR87","Both"
"SIPA1L3","Both"
"AKT2","Both"
"TEX101","Both"
"CKM","Both"
"GIPR","Both"
"NPAS1","Both"
"FUT2","Both"
"MYH14","Both"
"POLD1","Both"
"MYBPC2","Both"
"KLK6","Both"
"TCF15","Both"
"AL121758.1","Both"
"RAD21L1","Both"
"SNPH","Both"
"AL109804.1","Both"
"CHGB","Both"
"FERMT1","Both"
"PLCB1","Both"
"SLC24A3","Both"
"AL031658.1","Both"
"CCM2L","Both"
"SLA2","Both"
"SOGA1","Both"
"JPH2","Both"
"PTGIS","Both"
"ZFP64","Both"
"PHACTR3","Both"
"CXADR","Both"
"SETD4","Both"
"AP000688.1","Both"
"BRWD1","Both"
"TSPEAR","Both"
"KIAA1671","Both"
"MIAT","Both"
"TIMP3","Both"
"TMPRSS6","Both"
"CYTH4","Both"
"SH3BP1","Both"
"Z83844.2","Both"
"PDXP-DT","Both"
"PLA2G6","Both"
"MAFF","Both"
"SEPTIN3","Both"
"FBLN1","Both"
"ESPN","Both"
"AL034417.2","Both"
"H6PD","Both"
"TMEM201","Both"
"VPS13D","Both"
"EPHB2","Both"
"ZDHHC18","Both"
"AL445490.1","Both"
"COL8A2","Both"
"HEYL","Both"
"MPL","Both"
"PTCH2","Both"
"AKR1A1","Both"
"MAST2","Both"
"BEND5","Both"
"OSBPL9","Both"
"JAK1","Both"
"LMO4","Both"
"AL596214.1","Both"
"LRRC8B","Both"
"FAM102B","Both"
"LINC01397","Both"
"RAP1A","Both"
"WNT2B","Both"
"VANGL1","Both"
"BCL9","Both"
"MRPS21","Both"
"RORC","Both"
"GBA","Both"
"LRRC71","Both"
"CREG1","Both"
"TNN","Both"
"RALGPS2","Both"
"LGR6","Both"
"SNRPE","Both"
"CNTN2","Both"
"MFSD4A","Both"
"SUSD4","Both"
"NLRP3","Both"
"SILC1","Both"
"NTSR2","Both"
"MIR3681HG","Both"
"ADCY3","Both"
"TOGARAM2","Both"
"STRN","Both"
"EIF2AK2","Both"
"SLC8A1","Both"
"HAAO","Both"
"LINC02579","Both"
"PROM2","Both"
"MAP4K4","Both"
"DPP10","Both"
"SPC25","Both"
"RAPGEF4-AS1","Both"
"RAPGEF4","Both"
"COL5A2","Both"
"KIAA2012","Both"
"SNHG31","Both"
"DIRC3","Both"
"TNS1","Both"
"TNS1-AS1","Both"
"SLC19A3","Both"
"NMUR1","Both"
"ECEL1P1","Both"
"NDUFA10","Both"
"KIF1A","Both"
"SNED1","Both"
"PDCD1","Both"
"ATP2B2","Both"
"HRH1","Both"
"KCNH8","Both"
"EXOG","Both"
"LIMD1","Both"
"PRICKLE2-DT","Both"
"ROBO2","Both"
"BOC","Both"
"PARP15","Both"
"AC016924.1","Both"
"AC063919.1","Both"
"CHST13","Both"
"EEFSEC","Both"
"ESYT3","Both"
"PLSCR1","Both"
"LINC00881","Both"
"VEPH1","Both"
"PTX3","Both"
"CYP2AB1P","Both"
"DGKQ","Both"
"DTHD1","Both"
"KIT","Both"
"SEPTIN11","Both"
"ANXA3","Both"
"PRKG2","Both"
"ARHGAP24","Both"
"AC093827.5","Both"
"AP002026.1","Both"
"C4orf54","Both"
"IL21","Both"
"IL21-AS1","Both"
"TMEM154","Both"
"GALNT7","Both"
"F11-AS1","Both"
"IRX1","Both"
"AC016595.1","Both"
"LINC01018","Both"
"CCL28","Both"
"LINC01948","Both"
"PIK3R1","Both"
"MCCC2","Both"
"POC5","Both"
"MEF2C","Both"
"MEF2C-AS1","Both"
"LUCAT1","Both"
"EPB41L4A","Both"
"ALDH7A1","Both"
"AC106791.1","Both"
"SYNPO","Both"
"MYOZ3","Both"
"NSG2","Both"
"GPRIN1","Both"
"TBC1D9B","Both"
"FLT4","Both"
"LINC02521","Both"
"TXNDC5","Both"
"BLOC1S5-TXNDC5","Both"
"SYCP2L","Both"
"AL139807.1","Both"
"NEDD9","Both"
"TRIM38","Both"
"POM121L2","Both"
"MOG","Both"
"NUDT3","Both"
"RPS10-NUDT3","Both"
"FKBP5","Both"
"KCNK17","Both"
"USP49","Both"
"AL359813.1","Both"
"RSPH9","Both"
"TCTE1","Both"
"KLHL31","Both"
"HMGCLL1","Both"
"LINC00472","Both"
"AL365232.1","Both"
"AC019205.1","Both"
"MRAP2","Both"
"LAMA2","Both"
"IGF2R","Both"
"LINC01615","Both"
"BX322234.1","Both"
"RNF216","Both"
"FAM221A","Both"
"AC004540.2","Both"
"MTURN","Both"
"EEPD1","Both"
"DDX56","Both"
"HUS1","Both"
"CCL24","Both"
"ABCB4","Both"
"SH2B2","Both"
"ORAI2","Both"
"KCP","Both"
"CREB3L2","Both"
"TMEM139-AS1","Both"
"TCAF1","Both"
"PRKAG2","Both"
"BLK","Both"
"PSD3","Both"
"AC021678.2","Both"
"PNOC","Both"
"RNF122","Both"
"BRF2","Both"
"TACC1","Both"
"ADAM18","Both"
"XKR4","Both"
"SULF1","Both"
"SBSPON","Both"
"CA3","Both"
"NBN","Both"
"DECR1","Both"
"LINC00534","Both"
"SNX31","Both"
"EXT1","Both"
"FBXO32","Both"
"TG","Both"
"SLA","Both"
"CCN4","Both"
"ZFAT","Both"
"PTP4A3","Both"
"SPATC1","Both"
"CYHR1","Both"
"KANK1","Both"
"PLIN2","Both"
"AL162231.4","Both"
"ARHGEF39","Both"
"CA9","Both"
"GDA","Both"
"PRUNE2","Both"
"FRMD3","Both"
"FGD3","Both"
"FANCC","Both"
"ANKS6","Both"
"COL27A1","Both"
"PHF19","Both"
"AL589923.1","Both"
"ENG","Both"
"PKN3","Both"
"FNBP1","Both"
"CFAP77","Both"
"DBH","Both"
"AL355987.1","Both"
"LCN10","Both"
"LCN6","Both"
"AL355987.2","Both"
"RABL6","Both"
"ENTPD8","Both"
"WDR37","Both"
"TASOR2","Both"
"USP6NL","Both"
"SVIL","Both"
"ADAMTS14","Both"
"C10orf105","Both"
"CPEB3","Both"
"EXOC6","Both"
"BTRC","Both"
"GSTO2","Both"
"HSPA12A","Both"
"CHID1","Both"
"MUC2","Both"
"EIF3F","Both"
"IRAG1-AS1","Both"
"LYVE1","Both"
"MICAL2","Both"
"KCNC1","Both"
"EHF","Both"
"TSPAN18","Both"
"LARGE2","Both"
"LRP4","Both"
"DDB2","Both"
"RTN4RL2","Both"
"SLC15A3","Both"
"RBM14-RBM4","Both"
"RBM14","Both"
"KDM2A","Both"
"ALDH3B1","Both"
"KCTD14","Both"
"NDUFC2-KCTD14","Both"
"VSTM5","Both"
"PIWIL4","Both"
"AP000943.2","Both"
"POU2AF1","Both"
"ANKK1","Both"
"DRD2","Both"
"FXYD2","Both"
"UPK2","Both"
"POU2F3","Both"
"SNX19","Both"
"WNK1","Both"
"GPR162","Both"
"P3H3","Both"
"RIMKLB","Both"
"A2ML1-AS1","Both"
"A2ML1","Both"
"ARHGDIB","Both"
"SYT10","Both"
"CPNE8","Both"
"RND1","Both"
"KCNH3","Both"
"AQP6","Both"
"POU6F1","Both"
"ACVRL1","Both"
"ITGB7","Both"
"MAP3K12","Both"
"SMUG1","Both"
"ERBB3","Both"
"GRIP1","Both"
"AC073530.1","Both"
"CPM","Both"
"PTPRB","Both"
"ATP2B1","Both"
"UBE2N","Both"
"IGF1","Both"
"MSI1","Both"
"ATP6V0A2","Both"
"DNAH10","Both"
"CCDC92","Both"
"MMP17","Both"
"SHISA2","Both"
"RGCC","Both"
"SUCLA2","Both"
"SERPINE3","Both"
"AL162377.3","Both"
"TMEM272","Both"
"AL137782.1","Both"
"LMO7-AS1","Both"
"LMO7","Both"
"GPR180","Both"
"OXGR1","Both"
"GGACT","Both"
"AL163541.1","Both"
"COL4A1","Both"
"LINC00567","Both"
"AC244502.1","Both"
"NYNRIN","Both"
"AKAP6","Both"
"NPAS3","Both"
"KLHDC1","Both"
"ATG14","Both"
"SYT16","Both"
"PPP1R36","Both"
"SPTB","Both"
"CHURC1","Both"
"RDH11","Both"
"LTBP2","Both"
"GPATCH2L","Both"
"EML5","Both"
"CCDC88C","Both"
"FBLN5","Both"
"ASB2","Both"
"TRAF3","Both"
"AL132712.1","Both"
"AL132712.2","Both"
"APBA2","Both"
"KLF13","Both"
"MAP1A","Both"
"CORO2B","Both"
"GRAMD2A","Both"
"CSK","Both"
"TBC1D2B","Both"
"CFAP161","Both"
"KIF7","Both"
"AC022523.1","Both"
"AC069029.1","Both"
"ADAMTS17","Both"
"NME4","Both"
"NPW","Both"
"SLC9A3R2","Both"
"PMM2","Both"
"GGA2","Both"
"STX1B","Both"
"ADCY7","Both"
"LPCAT2","Both"
"CX3CL1","Both"
"WWP2","Both"
"GLG1","Both"
"AC009139.2","Both"
"BCO1","Both"
"PLCG2","Both"
"ADAD2","Both"
"COTL1","Both"
"ZNF469","Both"
"DOC2B","Both"
"PAFAH1B1","Both"
"ITGAE","Both"
"DNAH2","Both"
"ARHGEF15","Both"
"GLP2R","Both"
"ATPAF2","Both"
"RAB11FIP4","Both"
"ARL5C","Both"
"AC004408.2","Both"
"RAB5C","Both"
"KCNH4","Both"
"DHX8","Both"
"ETV4","Both"
"SOST","Both"
"DCAKD","Both"
"MAP3K14-AS1","Both"
"SPATA32","Both"
"MAP3K14","Both"
"AC068234.1","Both"
"EFCAB13","Both"
"AC018521.1","Both"
"ANKFN1","Both"
"CUEDC1","Both"
"IGBP1P2","Both"
"CD300A","Both"
"RHBDF2","Both"
"MXRA7","Both"
"MGAT5B","Both"
"PGS1","Both"
"DNAH17","Both"
"CARD14","Both"
"AC127496.5","Both"
"PVALEF","Both"
"BAHCC1","Both"
"NPB","Both"
"PCYT2","Both"
"RAB40B","Both"
"CABLES1","Both"
"MYO5B","Both"
"BOD1L2","Both"
"AC027097.1","Both"
"DIPK1C","Both"
"MIER2","Both"
"ARID3A","Both"
"NDUFS7","Both"
"AC005329.1","Both"
"NFIC","Both"
"MATK","Both"
"STAP2","Both"
"PTPRS","Both"
"NRTN","Both"
"RANBP3","Both"
"XAB2","Both"
"AC008763.2","Both"
"RAB11B","Both"
"ATG4D","Both"
"CCDC151","Both"
"ZNF44","Both"
"ZNF709","Both"
"ABHD8","Both"
"MRPL34","Both"
"AC010618.3","Both"
"PGLS","Both"
"UNC13A","Both"
"URI1","Both"
"LRP3","Both"
"WTIP","Both"
"ZBTB32","Both"
"LINC01529","Both"
"NPHS1","Both"
"KIRREL2","Both"
"RYR1","Both"
"AC243967.1","Both"
"AC006486.3","Both"
"ZNF526","Both"
"AC067968.1","Both"
"ZNF284","Both"
"SLC8A2","Both"
"SEC1P","Both"
"MAMSTR","Both"
"AC011473.4","Both"
"KLK9","Both"
"ZNF578","Both"
"AC003002.2","Both"
"ZNF274","Both"
"AL109809.4","Both"
"PRNP","Both"
"RRBP1","Both"
"CST3","Both"
"ENTPD6","Both"
"AL390198.1","Both"
"NCOA6","Both"
"TP53INP2","Both"
"AL035420.1","Both"
"MYL9","Both"
"YWHAB","Both"
"WFDC5","Both"
"NFATC2","Both"
"SALL4","Both"
"PPP4R1L","Both"
"ZBTB46","Both"
"TPD52L2","Both"
"MIR99AHG","Both"
"MAP3K7CL","Both"
"AP000311.1","Both"
"CRYZL1","Both"
"ITSN1","Both"
"UMODL1","Both"
"LINC00322","Both"
"TRAPPC10","Both"
"TRPM2","Both"
"ASPHD2","Both"
"SEC14L4","Both"
"RBFOX2","Both"
"MYH9","Both"
"CARD10","Both"
"GTPBP1","Both"
"SUN2","Both"
"HDAC10","Both"
"MAPK12","Both"
"TTLL10-AS1","Both"
"TTLL10","Both"
"MXRA8","Both"
"MTHFR","Both"
"FHAD1","Both"
"FHAD1-AS1","Both"
"PADI1","Both"
"IFFO2","Both"
"CDC42","Both"
"CNKSR1","Both"
"ZNF683","Both"
"GNL2","Both"
"AL513220.1","Both"
"CLDN19","Both"
"P3H1","Both"
"C1orf50","Both"
"AC098484.3","Both"
"ST3GAL3","Both"
"MKNK1-AS1","Both"
"SPATA6","Both"
"TUT4","Both"
"ZYG11A","Both"
"LRP8","Both"
"MROH7-TTC4","Both"
"LINC02777","Both"
"KANK4","Both"
"ABCA4","Both"
"TTF2","Both"
"VTCN1","Both"
"PDZK1","Both"
"TCHH","Both"
"SHC1","Both"
"PKLR","Both"
"ETV3","Both"
"FMO1","Both"
"AL139142.2","Both"
"ANKRD45","Both"
"TEX35","Both"
"C1orf220","Both"
"KIAA1614","Both"
"CDC73","Both"
"RPS10P7","Both"
"PPFIA4","Both"
"CHIT1","Both"
"LINC01353","Both"
"PIK3C2B","Both"
"MIR29B2CHG","Both"
"SYT14","Both"
"GALNT2","Both"
"AL160408.1","Both"
"AC144450.1","Both"
"AC010145.1","Both"
"GACAT3","Both"
"CYRIA","Both"
"GDF7","Both"
"AC018467.1","Both"
"OTOF","Both"
"C2orf16","Both"
"SPDYA","Both"
"EPCAM-DT","Both"
"SERTAD2","Both"
"AC007040.2","Both"
"ANKRD53","Both"
"DCTN1","Both"
"AC005041.1","Both"
"C2orf81","Both"
"SH2D6","Both"
"VAMP5","Both"
"AC013270.1","Both"
"MGAT4A","Both"
"LIMS1","Both"
"LINC01956","Both"
"BIN1","Both"
"WDR33","Both"
"THSD7B","Both"
"KIF5C","Both"
"GRB14","Both"
"MPP4","Both"
"ALS2","Both"
"SUMO1","Both"
"MAP2","Both"
"PLCD4","Both"
"DOCK10","Both"
"LRRFIP1","Both"
"RBM44","Both"
"GPR35","Both"
"SEC13","Both"
"AC083855.2","Both"
"SH3BP5","Both"
"ZNF620","Both"
"SFMBT1","Both"
"AC096887.1","Both"
"FRMD4B","Both"
"LINC00877","Both"
"PPP4R2","Both"
"TMEM45A","Both"
"ABI3BP","Both"
"PLCXD2","Both"
"MYLK-AS1","Both"
"MYLK","Both"
"SLC41A3","Both"
"AC112482.2","Both"
"COPG1","Both"
"CLSTN2","Both"
"EGFEM1P","Both"
"EHHADH","Both"
"AC068631.1","Both"
"SNORA63","Both"
"LINC02048","Both"
"DOK7","Both"
"PPP2R2C","Both"
"C1QTNF7-AS1","Both"
"C1QTNF7","Both"
"AC099550.1","Both"
"CCDC149","Both"
"KLB","Both"
"RHOH","Both"
"KDR","Both"
"CCDC158","Both"
"ABCG2","Both"
"CYP2U1-AS1","Both"
"EGF","Both"
"ANK2-AS1","Both"
"FGF2","Both"
"AC093821.1","Both"
"AC107223.1","Both"
"DCHS2","Both"
"NPY5R","Both"
"SORBS2","Both"
"LINC02217","Both"
"SPEF2","Both"
"AC010457.1","Both"
"FST","Both"
"SLC38A9","Both"
"ARHGEF28","Both"
"AC022414.1","Both"
"PDE8B","Both"
"TBCA","Both"
"CMYA5","Both"
"SERINC5","Both"
"AC010307.3","Both"
"AC109454.3","Both"
"AC005355.1","Both"
"C5orf66-AS2","Both"
"KLHL3","Both"
"SLC23A1","Both"
"AC012613.1","Both"
"AC012613.2","Both"
"AFAP1L1","Both"
"AC008453.2","Both"
"FAT2","Both"
"DOCK2","Both"
"RASGEF1C","Both"
"MAPK9","Both"
"GFPT2","Both"
"BTNL9","Both"
"SERPINB6","Both"
"ELOVL2-AS1","Both"
"AL512380.2","Both"
"ZSCAN16-AS1","Both"
"Z98745.2","Both"
"UNC5CL","Both"
"OARD1","Both"
"LINC01276","Both"
"TTBK1","Both"
"CD2AP","Both"
"TTK","Both"
"LIN28B","Both"
"FYN","Both"
"RFX6","Both"
"CEP85L","Both"
"LINC01312","Both"
"RGS17","Both"
"AL121956.1","Both"
"Z94721.2","Both"
"CCR6","Both"
"AL031315.1","Both"
"WDR27","Both"
"NUDT1","Both"
"WIPI2","Both"
"ZNF853","Both"
"AC073343.2","Both"
"CRPPA","Both"
"SOSTDC1","Both"
"MYO1G","Both"
"C7orf65","Both"
"ZNF273","Both"
"BUD23","Both"
"GRM3","Both"
"NPTX2","Both"
"NAT16","Both"
"CUX1","Both"
"CDHR3","Both"
"ASB15","Both"
"ASB15-AS1","Both"
"PODXL","Both"
"DGKI","Both"
"DENND11","Both"
"NOS3","Both"
"ATG9B","Both"
"AC005996.1","Both"
"AC019257.1","Both"
"KBTBD11-OT1","Both"
"KBTBD11","Both"
"RP1L1","Both"
"C8orf74","Both"
"PLAT","Both"
"CHRNB3","Both"
"AC120036.1","Both"
"STMN2","Both"
"LINC01607","Both"
"AC036214.1","Both"
"AP003472.1","Both"
"YWHAZ","Both"
"ANXA13","Both"
"COL22A1","Both"
"TSNARE1","Both"
"GLIS3","Both"
"AL162419.1","Both"
"MOB3B","Both"
"AL451123.1","Both"
"AL138752.2","Both"
"SHB","Both"
"TRPM3","Both"
"GNA14","Both"
"AL158071.2","Both"
"TBC1D2","Both"
"MSANTD3-TMEFF1","Both"
"TMEFF1","Both"
"PGAP4","Both"
"C9orf152","Both"
"PDCL","Both"
"SLC25A25","Both"
"LAMC3","Both"
"RAPGEF1","Both"
"EGFL7","Both"
"LCN15","Both"
"PNPLA7","Both"
"AKR1E2","Both"
"ITIH5","Both"
"ECHDC3","Both"
"ENKUR","Both"
"WAC","Both"
"BAMBI","Both"
"ZNF32-AS3","Both"
"ZNF32","Both"
"SGPL1","Both"
"DUSP13","Both"
"SAMD8","Both"
"ZNF503-AS1","Both"
"MAT1A","Both"
"SORBS1","Both"
"CALHM3","Both"
"RAB11FIP2","Both"
"TEX36","Both"
"AL158835.1","Both"
"C10orf90","Both"
"PWWP2B","Both"
"SIGIRR","Both"
"BRSK2","Both"
"TEAD1","Both"
"BTBD10","Both"
"ALKBH3","Both"
"C11orf49","Both"
"CELF1","Both"
"PTPRJ","Both"
"ZFP91-CNTF","Both"
"C11orf95","Both"
"SLC22A20P","Both"
"GAL3ST3","Both"
"RBM4","Both"
"ACY3","Both"
"ALDH3B2","Both"
"ACER3","Both"
"CAPN5","Both"
