"Gene","Direction"
"PCDHGA6","Both"
"PCDHGA7","Both"
"PCDHGB4","Both"
"PCDHGA8","Both"
"PCDHGB5","Both"
"PCDHGA9","Both"
"PCDHGB6","Both"
"PCDHGA10","Both"
"PCDHGB7","Both"
"PCDHGA11","Both"
"PCDHGA12","Both"
"PCDHGC3","Both"
"PCDHGC4","Both"
"PCDHGC5","Both"
"PLEC","Both"
"AP2A2","Both"
"MUC6","Both"
"AC092143.1","Both"
"TUBB3","Both"
"ALOX12-AS1","Both"
"AC040977.2","Both"
"RNASEK-C17orf49","Both"
"C17orf49","Both"
"KCNAB3","Both"
"AC104581.2","Both"
"CNTROB","Both"
"TBX4","Both"
"AXL","Both"
"HNRNPUL1","Both"
"RUSC1","Both"
"SPRTN","Both"
"SH3YL1","Both"
"ACP1","Both"
"SOX2-OT","Both"
"SPON2","Both"
"CTBP1","Both"
"AC058822.1","Both"
"PDGFRA","Both"
"LEF1","Both"
"SIM1","Both"
"AL096711.2","Both"
"C6orf58","Both"
"NUP43","Both"
"GATA4","Both"
"SCRIB","Both"
"PUF60","Both"
"FADS2","Both"
"FADS1","Both"
"PCNX3","Both"
"ROBO3","Both"
"CDKN1B","Both"
"GALNT9","Both"
"IRS2","Both"
"TMEM255B","Both"
"GAS6-AS1","Both"
"BCL11B","Both"
"ABHD15-AS1","Both"
"MSI2","Both"
"ZNF345","Both"
"GSK3A","Both"
"MYADM","Both"
"CALML6","Both"
"PRKCZ","Both"
"AC022217.3","Both"
"TFEB","Both"
"PGC","Both"
"EYA4","Both"
"TWIST1","Both"
"AC120193.1","Both"
"ZFP41","Both"
"AC138696.1","Both"
"PTCH1","Both"
"EGR2","Both"
"TUBGCP2","Both"
"ZNF511-PRAP1","Both"
"DEAF1","Both"
"PIDD1","Both"
"CD81-AS1","Both"
"SOCS2-AS1","Both"
"SOCS2","Both"
"AC079385.1","Both"
"RFX4","Both"
"FBRSL1","Both"
"CCNA1","Both"
"DLEU2","Both"
"DLEU1","Both"
"AL132780.3","Both"
"AJUBA","Both"
"FLRT2","Both"
"AC009093.11","Both"
"BCL7C","Both"
"LCAT","Both"
"DLX4","Both"
"CELF4","Both"
"AC009899.1","Both"
"AD000671.1","Both"
"LIN37","Both"
"ISM1","Both"
"GGT7","Both"
"ACSS2","Both"
"SYS1-DBNDD2","Both"
"TP53TG5","Both"
"DBNDD2","Both"
"ZGPAT","Both"
"AL121845.3","Both"
"PRDM16-DT","Both"
"PRDM16","Both"
"NPHP4","Both"
"KCNAB2","Both"
"NTNG1","Both"
"IGSF9","Both"
"ADAMTS4","Both"
"NDUFS2","Both"
"LRATD1","Both"
"GLB1L","Both"
"ANKMY1","Both"
"C3orf18","Both"
"HEMK1","Both"
"LRBA","Both"
"MIR124-1HG","Both"
"MLLT3","Both"
"QSOX2","Both"
"NDUFS3","Both"
"FAM111A-DT","Both"
"FAM111A","Both"
"RASGRP2","Both"
"PYGM","Both"
"AP001107.4","Both"
"USP5","Both"
