"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0120517","MF","inositol pentakisphosphate kinase activity",1,1,0.959495659759203,1
"GO:0015195","MF","L-threonine transmembrane transporter activity",1,1,0.959498414451989,1
"GO:0015826","BP","threonine transport",1,1,0.959498414451989,1
"GO:0034589","BP","hydroxyproline transport",1,1,0.959498414451989,1
"GO:0034590","MF","L-hydroxyproline transmembrane transporter activity",1,1,0.959498414451989,1
"GO:0014064","BP","positive regulation of serotonin secretion",1,1,0.959498807643787,1
"GO:0019811","MF","cocaine binding",1,1,0.959498807643787,1
"GO:0090067","BP","regulation of thalamus size",1,1,0.959498807643787,1
"GO:1904568","BP","cellular response to wortmannin",1,1,0.959501950149533,1
"GO:1904828","BP","positive regulation of hydrogen sulfide biosynthetic process",1,1,0.959501950149533,1
"GO:0045344","BP","negative regulation of MHC class I biosynthetic process",1,1,0.959503911483729,1
"GO:0071788","BP","endoplasmic reticulum tubular network maintenance",1,1,0.959530378398229,1
"GO:1904247","BP","positive regulation of polynucleotide adenylyltransferase activity",1,1,0.959531537211458,1
"GO:0016462","MF","pyrophosphatase activity",749,708,0.959538927835709,1
"GO:0062151","CC","catalase complex",1,1,0.959548065124588,1
"GO:0072722","BP","response to amitrole",1,1,0.959548065124588,1
"GO:0050585","MF","4-hydroxymandelate synthase activity",1,1,0.95954883013449,1
"GO:2000212","BP","negative regulation of glutamate metabolic process",1,1,0.959553794589459,1
"GO:0035545","BP","determination of left/right asymmetry in nervous system",1,1,0.95955646192081,1
"GO:0120134","CC","proximal portion of axoneme",1,1,0.95955646192081,1
"GO:2000454","BP","positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation",1,1,0.959557603812435,1
"GO:1990261","BP","pre-mRNA catabolic process",1,1,0.95955912516043,1
"GO:0098725","BP","symmetric cell division",1,1,0.959561404678324,1
"GO:1904777","BP","negative regulation of protein localization to cell cortex",1,1,0.959561404678324,1
"GO:0002078","BP","membrane fusion involved in acrosome reaction",1,1,0.95956178430675,1
"GO:0003972","MF","RNA ligase (ATP) activity",1,1,0.959564439347609,1
"GO:1905115","BP","regulation of lateral attachment of mitotic spindle microtubules to kinetochore",1,1,0.959565954671042,1
"GO:1905116","BP","positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore",1,1,0.959565954671042,1
"GO:0032723","BP","positive regulation of connective tissue growth factor production",1,1,0.95957162517495,1
"GO:0047190","MF","2-acylglycerophosphocholine O-acyltransferase activity",1,1,0.959579532061361,1
"GO:0071618","MF","lysophosphatidylethanolamine acyltransferase activity",1,1,0.959579532061361,1
"GO:0021572","BP","rhombomere 6 development",1,1,0.959580283152625,1
"GO:0008493","MF","tetracycline transmembrane transporter activity",1,1,0.959588149089735,1
"GO:0015904","BP","tetracycline transmembrane transport",1,1,0.959588149089735,1
"GO:0098674","CC","extrinsic component of neuronal dense core vesicle membrane",1,1,0.959594861311696,1
"GO:0098922","CC","extrinsic component of dense core granule membrane",1,1,0.959594861311696,1
"GO:0050136","MF","NADH dehydrogenase (quinone) (non-electrogenic) activity",1,1,0.959597464104145,1
"GO:0010607","BP","negative regulation of cytoplasmic mRNA processing body assembly",1,1,0.959598206984023,1
"GO:0005985","BP","sucrose metabolic process",1,1,0.959603397482133,1
"GO:0043181","BP","vacuolar sequestering",1,1,0.959603397482133,1
"GO:0120282","CC","autolysosome lumen",1,1,0.959603397482133,1
"GO:0120519","MF","tubulin N-terminal-methionine acetyltransferase activity",1,1,0.959604877375135,1
"GO:0106075","MF","peptide N-succinyltransferase activity",1,1,0.959606355883132,1
"GO:0106078","MF","histone succinyltransferase activity",1,1,0.959606355883132,1
"GO:0106227","BP","peptidyl-lysine glutarylation",1,1,0.959606355883132,1
"GO:0106228","MF","peptide glutaryltransferase activity",1,1,0.959606355883132,1
"GO:0106229","MF","histone glutaryltransferase activity",1,1,0.959606355883132,1
"GO:0010983","BP","positive regulation of high-density lipoprotein particle clearance",7,6,0.959608477539603,1
"GO:0019449","BP","L-cysteine catabolic process to hypotaurine",1,1,0.959620698693193,1
"GO:0019452","BP","L-cysteine catabolic process to taurine",1,1,0.959620698693193,1
"GO:0036250","BP","peroxisome transport along microtubule",1,1,0.959621064720465,1
"GO:0046588","BP","negative regulation of calcium-dependent cell-cell adhesion",1,1,0.959622527956152,1
"GO:0000921","BP","septin ring assembly",1,1,0.959622893548497,1
"GO:1990718","CC","axonemal central pair projection",1,1,0.959624355041064,1
"GO:0051786","MF","all-trans-retinol 13,14-reductase activity",1,1,0.959624720193839,1
"GO:0008812","MF","choline dehydrogenase activity",1,1,0.959628002656748,1
"GO:2000331","BP","regulation of terminal button organization",1,1,0.959628731131756,1
"GO:1903180","BP","negative regulation of dopamine biosynthetic process",1,1,0.959635996633157,1
"GO:0060517","BP","epithelial cell proliferation involved in prostatic bud elongation",1,1,0.95963708343464,1
"GO:0060784","BP","regulation of cell proliferation involved in tissue homeostasis",1,1,0.95963708343464,1
"GO:0045726","BP","positive regulation of integrin biosynthetic process",1,1,0.959637807529815,1
"GO:0070237","BP","positive regulation of activation-induced cell death of T cells",1,1,0.959637807529815,1
"GO:1905006","BP","negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation",1,1,0.959637807529815,1
"GO:0031990","BP","mRNA export from nucleus in response to heat stress",1,1,0.959638531271345,1
"GO:0017196","BP","N-terminal peptidyl-methionine acetylation",1,1,0.95964178375909,1
"GO:1990548","BP","mitochondrial FAD transmembrane transport",1,1,0.959642866334949,1
"GO:0036034","BP","mediator complex assembly",1,1,0.959643587610877,1
"GO:2001176","BP","regulation of mediator complex assembly",1,1,0.959643587610877,1
"GO:2001178","BP","positive regulation of mediator complex assembly",1,1,0.959643587610877,1
"GO:0043843","MF","ADP-specific glucokinase activity",1,1,0.959644308534482,1
"GO:0036004","MF","GAF domain binding",1,1,0.959647548314614,1
"GO:0004516","MF","nicotinate phosphoribosyltransferase activity",1,1,0.959649345093946,1
"GO:0034393","BP","positive regulation of smooth muscle cell apoptotic process",18,16,0.959651025042553,1
"GO:0000225","MF","N-acetylglucosaminylphosphatidylinositol deacetylase activity",1,1,0.95965113965486,1
"GO:0033858","MF","N-acetylgalactosamine kinase activity",1,1,0.959654364261771,1
"GO:0036415","BP","regulation of tRNA stability",8,7,0.959655174362647,1
"GO:0036416","BP","tRNA stabilization",8,7,0.959655174362647,1
"GO:1902370","BP","regulation of tRNA catabolic process",8,7,0.959655174362647,1
"GO:1902371","BP","negative regulation of tRNA catabolic process",8,7,0.959655174362647,1
"GO:1903326","BP","regulation of tRNA metabolic process",8,7,0.959655174362647,1
"GO:1903327","BP","negative regulation of tRNA metabolic process",8,7,0.959655174362647,1
"GO:2000158","BP","positive regulation of ubiquitin-specific protease activity",1,1,0.959657224515125,1
"GO:0015439","MF","ABC-type heme transporter activity",1,1,0.959661860209065,1
"GO:0052925","MF","dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity",1,1,0.959665770850707,1
"GO:0038102","MF","activin receptor antagonist activity",1,1,0.959668608088327,1
"GO:0005519","MF","cytoskeletal regulatory protein binding",1,1,0.959670378415034,1
"GO:0120006","BP","regulation of glutamatergic neuron differentiation",1,1,0.959672146468051,1
"GO:0120007","BP","negative regulation of glutamatergic neuron differentiation",1,1,0.959672146468051,1
"GO:0014825","BP","stomach fundus smooth muscle contraction",1,1,0.959674265125552,1
"GO:0014847","BP","proximal stomach smooth muscle contraction",1,1,0.959674265125552,1
"GO:0031839","MF","type 1 neuromedin U receptor binding",1,1,0.959674265125552,1
"GO:0031840","MF","type 2 neuromedin U receptor binding",1,1,0.959674265125552,1
"GO:0042922","MF","neuromedin U receptor binding",1,1,0.959674265125552,1
"GO:0120060","BP","regulation of gastric emptying",1,1,0.959674265125552,1
"GO:0120061","BP","negative regulation of gastric emptying",1,1,0.959674265125552,1
"GO:0120068","BP","regulation of stomach fundus smooth muscle contraction",1,1,0.959674265125552,1
"GO:0120069","BP","positive regulation of stomach fundus smooth muscle contraction",1,1,0.959674265125552,1
"GO:0033867","MF","Fas-activated serine/threonine kinase activity",1,1,0.959674970616208,1
"GO:0035429","BP","gluconate transmembrane transport",1,1,0.959685158917087,1
"GO:0042873","BP","aldonate transmembrane transport",1,1,0.959685158917087,1
"GO:0018858","MF","benzoate-CoA ligase activity",1,1,0.959685858696801,1
"GO:0018874","BP","benzoate metabolic process",1,1,0.959685858696801,1
"GO:0032974","BP","amino acid transmembrane export from vacuole",1,1,0.959688654106503,1
"GO:0034159","BP","regulation of toll-like receptor 8 signaling pathway",1,1,0.959688654106503,1
"GO:0034161","BP","positive regulation of toll-like receptor 8 signaling pathway",1,1,0.959688654106503,1
"GO:0089708","BP","L-histidine transmembrane export from vacuole",1,1,0.959688654106503,1
"GO:0051308","BP","male meiosis chromosome separation",1,1,0.959694574579453,1
"GO:0017045","MF","corticotropin-releasing hormone activity",1,1,0.959698737494984,1
"GO:0036440","MF","citrate synthase activity",1,1,0.95970081389775,1
"GO:0003168","BP","Purkinje myocyte differentiation",1,1,0.959703577185919,1
"GO:1990664","CC","Nkx-2.5 complex",1,1,0.959703577185919,1
"GO:0031692","MF","alpha-1B adrenergic receptor binding",1,1,0.959704611873264,1
"GO:0070473","BP","negative regulation of uterine smooth muscle contraction",1,1,0.959704611873264,1
"GO:0140560","MF","xylosyl alpha-1,3-xylosyltransferase activity",1,1,0.959705645711964,1
"GO:0008541","CC","proteasome regulatory particle, lid subcomplex",8,7,0.959709550466233,1
"GO:0001069","MF","regulatory region RNA binding",1,1,0.959710802227284,1
"GO:0033679","MF","3'-5' DNA/RNA helicase activity",1,1,0.959710802227284,1
"GO:0039695","BP","DNA-templated viral transcription",1,1,0.959710802227284,1
"GO:2000431","BP","regulation of cytokinesis, actomyosin contractile ring assembly",1,1,0.959713885973003,1
"GO:0090218","BP","positive regulation of lipid kinase activity",1,1,0.959714912190843,1
"GO:0072303","BP","positive regulation of glomerular metanephric mesangial cell proliferation",1,1,0.959715595865471,1
"GO:0033961","MF","cis-stilbene-oxide hydrolase activity",1,1,0.959718326790226,1
"GO:0070962","BP","positive regulation of neutrophil mediated killing of bacterium",1,1,0.959721391855606,1
"GO:0070963","BP","positive regulation of neutrophil mediated killing of gram-negative bacterium",1,1,0.959721391855606,1
"GO:0008957","MF","phenylacetaldehyde dehydrogenase (NAD+) activity",1,1,0.959721731947242,1
"GO:0018937","BP","nitroglycerin metabolic process",1,1,0.959721731947242,1
"GO:1905627","BP","regulation of serotonin biosynthetic process",1,1,0.959721731947242,1
"GO:0018477","MF","benzaldehyde dehydrogenase (NADP+) activity",1,1,0.959724109935349,1
"GO:1900149","BP","positive regulation of Schwann cell migration",1,1,0.959727160552994,1
"GO:0003953","MF","NAD+ nucleosidase activity",1,1,0.959730203517266,1
"GO:0034128","BP","negative regulation of MyD88-independent toll-like receptor signaling pathway",1,1,0.959730203517266,1
"GO:0050135","MF","NADP+ nucleosidase activity",1,1,0.959730203517266,1
"GO:0033919","MF","glucan 1,3-alpha-glucosidase activity",1,1,0.959731890748844,1
"GO:0106407","MF","Glc2Man9GlcNAc2 oligosaccharide glucosidase activity",1,1,0.959731890748844,1
"GO:0018395","BP","peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine",1,1,0.959732227912206,1
"GO:0033746","MF","histone H3R2 demethylase activity",1,1,0.959732227912206,1
"GO:0033749","MF","histone H4R3 demethylase activity",1,1,0.959732227912206,1
"GO:0070815","MF","peptidyl-lysine 5-dioxygenase activity",1,1,0.959732227912206,1
"GO:0052767","MF","mannosyl-oligosaccharide 1,6-alpha-mannosidase activity",1,1,0.959734248912374,1
"GO:0034423","CC","autophagosome lumen",1,1,0.959737274035928,1
"GO:2000422","BP","regulation of eosinophil chemotaxis",1,1,0.959737274035928,1
"GO:2000424","BP","positive regulation of eosinophil chemotaxis",1,1,0.959737274035928,1
"GO:0004361","MF","glutaryl-CoA dehydrogenase activity",1,1,0.959747302503893,1
"GO:0016519","MF","gastric inhibitory peptide receptor activity",1,1,0.959747968041278,1
"GO:0120022","MF","glucagon family peptide binding",1,1,0.959747968041278,1
"GO:0060987","CC","lipid tube",1,1,0.959750958273616,1
"GO:1903946","BP","negative regulation of ventricular cardiac muscle cell action potential",1,1,0.959750958273616,1
"GO:0030290","MF","sphingolipid activator protein activity",1,1,0.959751621728752,1
"GO:0032428","MF","beta-N-acetylgalactosaminidase activity",1,1,0.959751621728752,1
"GO:0101006","MF","protein histidine phosphatase activity",1,1,0.959760212170072,1
"GO:0150101","BP","regulation of microtubule anchoring at centrosome",1,1,0.959760870324457,1
"GO:0008049","BP","male courtship behavior",1,1,0.959763170880524,1
"GO:0016231","MF","beta-N-acetylglucosaminidase activity",1,1,0.959763170880524,1
"GO:0004418","MF","hydroxymethylbilane synthase activity",1,1,0.959763827329514,1
"GO:0046722","BP","lactic acid secretion",1,1,0.959765466797965,1
"GO:0090459","BP","intracellular aspartate homeostasis",1,1,0.959765466797965,1
"GO:0008817","MF","corrinoid adenosyltransferase activity",1,1,0.959766121924954,1
"GO:1904843","BP","cellular response to nitroglycerin",1,1,0.959766776673602,1
"GO:1990713","CC","survivin complex",1,1,0.959767103903418,1
"GO:0002135","MF","CTP binding",1,1,0.959767431040411,1
"GO:0032564","MF","dATP binding",1,1,0.959767431040411,1
"GO:0072750","BP","cellular response to leptomycin B",1,1,0.95976971835252,1
"GO:1901344","BP","response to leptomycin B",1,1,0.95976971835252,1
"GO:1901707","MF","leptomycin B binding",1,1,0.95976971835252,1
"GO:2000661","BP","positive regulation of interleukin-1-mediated signaling pathway",1,1,0.959772326750903,1
"GO:0019975","MF","interleukin-17 binding",1,1,0.959772977905026,1
"GO:0042163","MF","interleukin-12 beta subunit binding",1,1,0.959772977905026,1
"GO:0045513","MF","interleukin-27 binding",1,1,0.959772977905026,1
"GO:1990385","CC","meiotic spindle midzone",1,1,0.959773953929229,1
"GO:0046789","MF","host cell surface receptor binding",1,1,0.959774279080003,1
"GO:0046812","MF","host cell surface binding",1,1,0.959774279080003,1
"GO:0034677","CC","integrin alpha7-beta1 complex",1,1,0.959775903428272,1
"GO:0048626","BP","myoblast fate specification",1,1,0.959775903428272,1
"GO:0001998","BP","angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure",1,1,0.95977979223997,1
"GO:1903673","BP","mitotic cleavage furrow formation",1,1,0.95977979223997,1
"GO:0000250","MF","lanosterol synthase activity",1,1,0.959788171545203,1
"GO:0016104","BP","triterpenoid biosynthetic process",1,1,0.959788171545203,1
"GO:0031559","MF","oxidosqualene cyclase activity",1,1,0.959788171545203,1
"GO:0003414","BP","chondrocyte morphogenesis involved in endochondral bone morphogenesis",1,1,0.959789775688309,1
"GO:0003429","BP","growth plate cartilage chondrocyte morphogenesis",1,1,0.959789775688309,1
"GO:0090171","BP","chondrocyte morphogenesis",1,1,0.959789775688309,1
"GO:0003905","MF","alkylbase DNA N-glycosylase activity",1,1,0.959792337462196,1
"GO:0038164","MF","thrombopoietin receptor activity",1,1,0.959792657264061,1
"GO:1990960","BP","basophil homeostasis",1,1,0.959792657264061,1
"GO:0004496","MF","mevalonate kinase activity",1,1,0.959793935545067,1
"GO:0004557","MF","alpha-galactosidase activity",1,1,0.959795212338004,1
"GO:0008456","MF","alpha-N-acetylgalactosaminidase activity",1,1,0.959795212338004,1
"GO:0003878","MF","ATP citrate synthase activity",1,1,0.959795850175759,1
"GO:0042668","BP","auditory receptor cell fate determination",1,1,0.959796168957451,1
"GO:0110050","MF","deaminated glutathione amidase activity",1,1,0.959796487645351,1
"GO:0046086","BP","adenosine biosynthetic process",1,1,0.959797443154499,1
"GO:0180020","MF","membrane bending activity",1,1,0.959797761470756,1
"GO:1990627","BP","mitochondrial inner membrane fusion",1,1,0.959797761470756,1
"GO:1904409","BP","regulation of secretory granule organization",1,1,0.959798397830114,1
"GO:1904411","BP","positive regulation of secretory granule organization",1,1,0.959798397830114,1
"GO:0008448","MF","N-acetylglucosamine-6-phosphate deacetylase activity",1,1,0.959800939569232,1
"GO:0106278","BP","regulation of UDP-N-acetylglucosamine biosynthetic process",1,1,0.959800939569232,1
"GO:0106279","BP","negative regulation of UDP-N-acetylglucosamine biosynthetic process",1,1,0.959800939569232,1
"GO:0002644","BP","negative regulation of tolerance induction",1,1,0.959803791982786,1
"GO:1902482","BP","regulatory T cell apoptotic process",1,1,0.959803791982786,1
"GO:0031680","CC","G-protein beta/gamma-subunit complex",1,1,0.959807268168792,1
"GO:0003420","BP","regulation of growth plate cartilage chondrocyte proliferation",1,1,0.959809474525868,1
"GO:0008941","MF","nitric oxide dioxygenase NAD(P)H activity",1,1,0.959809474525868,1
