"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MF","GO:0015085","calcium ion transmembrane transporter activity",137,0.501890335386141,1.23727515902725,0.00553995779555212,0.0313441177363129,0.0219475295196238,8227,"tags=52%, list=33%, signal=35%","SLC30A10/CACNA1G/TRPC3/RYR2/SLC8A2/SLC24A4/FAIM2/MCOLN2/CNGB1/NCS1/GRIN1/SLC24A3/CACNG8/CACNA1H/CACNA1C/TRPV4/CACNB2/SLC8A1/TRPM6/TMBIM1/TRPV3/CACHD1/ANO9/CACNA1I/SLC8B1/ATP2B4/TRPM2/ATP2A3/ATP2A2/CACNA2D3/GRIK2/TRPM3/ITPR2/PKD1/PKD1L2/CACNA2D4/ORAI2/PKD2L2/TRPM4/GRIN3A/CACNB1/TMEM37/CNGA3/CACNG7/PSEN1/CHRNA7/TRPV6/MCOLN1/CACNB4/TRPC4AP/RYR1/CACNA1E/CACNG2/TRPC4/CACNA1D/CACNA2D1/TRPC6/CACNB3/GRIN2D/SLC24A1/TRPM8/ATP2C1/ATP2C2/CHRNA9/CALHM3/GRIK1/PKD1L1/CATSPER4/P2RX4/GRIN2B/TMBIM4"
"MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding",38,0.607980648887607,1.39825268201285,0.00555104880214982,0.0313538549583497,0.0219543476400089,4398,"tags=42%, list=18%, signal=35%","MYO1G/ARHGAP9/IQGAP2/DAPP1/PARD3/PHLDA3/GBF1/OBSCN/JPH2/MYO10/ADAP1/KIF16B/ANXA8/FCHSD2/HIP1R/MYO1B"
"BP","GO:0086012","membrane depolarization during cardiac muscle cell action potential",23,0.640855545959767,1.4220709727157,0.00559021950942305,0.0315533409939179,0.0220940301696375,8409,"tags=78%, list=34%, signal=52%","CACNA1G/SCN3B/SLMAP/CACNA1C/CACNB2/SLC8A1/RANGRF/SCN4B/ANK2/TRPM4/SCN1B/HCN4/CACNA1D/CACNA2D1/HCN2/ANK3/GJA5/SCN2B"
"BP","GO:0050918","positive chemotaxis",63,0.549406877305397,1.30131262044632,0.00561431853612597,0.0316457459125063,0.0221587332088342,6137,"tags=44%, list=25%, signal=33%","WNT5A/FGF8/ARTN/LGALS3/BMP4/F3/SMAD3/GDNF/NTF3/CASR/ITGA2/SEMA5A/HMGB2/CX3CL1/NRP1/MET/CORO1A/PGF/APP/FGF2/KDR/VEGFC/ANGPT1/WNT7B/PDGFB/CXCL12/TSC2/VEGFB"
"BP","GO:0051588","regulation of neurotransmitter transport",103,0.51259879997007,1.24857571677508,0.00561431853612597,0.0316457459125063,0.0221587332088342,9431,"tags=64%, list=38%, signal=40%","SNCG/DRD4/DYSF/NPY/DRD2/FER1L5/CHRNB4/GDNF/PRKCB/SYT1/SLC17A8/SLC4A8/GIT1/SNCA/NLGN1/RAB3A/SV2C/GFAP/SNCAIP/RIMS2/NGF/LRRK2/RAP1A/ADORA2A/ATP2A2/PRKCG/SYT8/SYT2/RIMS4/NF1/CSPG5/FLOT1/APP/MEF2C/GPR158/PPFIA2/BAIAP3/SYT5/HCRT/CACNB4/SYNGR3/RAB3B/SLC18A3/RIMS3/STX1B/MYOF/DRD1/KCNMB4/SLC38A2/RIMS1/MCTP1/OTOF/ITGB3/GPR151/CPLX3/TACR2/FBXL20/P2RY1/WNT7A/KMO/CALM3/P2RX1/STX1A/PER2/STXBP1/DTNBP1"
"BP","GO:0032095","regulation of response to food",18,0.686325714626852,1.48676983529461,0.0056228804388847,0.0316504404085675,0.0221620203516324,3599,"tags=50%, list=15%, signal=43%","FBN1/NPY/LEP/MT3/CARTPT/UCN/PRKCG/GHSR/PPARA"
"BP","GO:0050922","negative regulation of chemotaxis",48,0.573882633180258,1.33668126181908,0.0056199328546621,0.0316504404085675,0.0221620203516324,3104,"tags=31%, list=13%, signal=27%","DUSP1/WNT5A/NBL1/ROBO3/GSTP1/WNT3/WNT3A/SLIT1/ELANE/SEMA3F/RIN3/THBS1/SEMA5A/MMP28/NRP1"
"MF","GO:0008395","steroid hydroxylase activity",26,0.628495881660268,1.414249235703,0.00565954970258016,0.0318349670770134,0.0222912281518628,2208,"tags=27%, list=9%, signal=25%","CYP11A1/CYP7B1/CH25H/CYP27A1/CYP1B1/CYP1A1/CYP24A1"
"BP","GO:0002089","lens morphogenesis in camera-type eye",23,0.639684002935944,1.41947129586501,0.0056652548938126,0.0318451870832705,0.0222983843235856,4599,"tags=52%, list=19%, signal=42%","SOX11/SIX3/BMP4/BCAR3/EPHA2/PITX3/MEIS1/NECTIN3/SOX1/LCTL/ABI2/CITED2"
"CC","GO:0120111","neuron projection cytoplasm",84,0.532482432930969,1.28368727721559,0.00568867929109876,0.0319111530096567,0.0223445744613598,8574,"tags=54%, list=35%, signal=35%","DST/KIF17/TRAK1/AP3B1/STAU2/NEFL/BAIAP2/RAB27B/KIF3B/TMEM108/LRRK2/KIFC2/AP3M2/OPA1/HPCA/GRIK2/DYNC1H1/ARC/DLG4/AGBL4/UCHL1/TRIM46/KIF5A/HIP1R/MGARP/DLG2/SPAST/SYBU/PAFAH1B1/HIF1A/AP3B2/MAPK8IP3/KIF1A/KIF1C/BLOC1S2/MAP1A/MAP2/EIF4EBP2/BLOC1S1/KIF21A/TRAK2/MAPT/KIF3A/RANGAP1/HSBP1"
